Mitra;Alamat;Modul
Dwi Rahma Firmansyah;Jl. Rorojonggrang Timur VIII RT9 RW9;Implementasi Basis Data Web Service Sistem Basis Data Pemrograman Web Jaringan Komputer Sistem Operasi Pemrograman Aplikasi Mobile Text Mining
PT. IlmuKomputerCom Braindevs Sistema;Menara Bidakara 1 Lantai 2, Jl. Gatot Subroto Kav. 71-73 Pancoran Jakarta Selatan 12870;Critical Thinking Team Work Communication Skills Time Management Requirement Analysis
PT Sembilan Matahari;Jl. Muararajeun No. 26 RT 005 RW 011, Cihaurgeulis, Cibeunying Kaler, Bandung, Jawa Barat;Kemampuan Management Data Asset Pencarian referensi dan Menerjemahkan brief menjadi visual  Rendering  Animasi 3D Asset Compositing Asset 3D ke Template Content Kerjasama tim secara dinamis
PT Telkom Indonesia (Persero) Tbk;Jl Japati 1, Bandung;Content Review Job Performance Strategic Communication Plan Content Design Content Delivery Content Strategy
PT Abbauf Mulia Konsultan Teknologi;APL Tower Central Park Lantai 19 Unit T7, Jl. Letjen S. Parman No.Kavling 28, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470;Memonitoring Kerjasama Kerjasama Tim Secara Dinamis Memperoleh Target Pasar Menyiapkan Bahan Pendukung Pemasaran Maintenance Klien
PT Baracipta Esa Engineering;Jl. Mijil No. 98 Karangjati, Ngemplak, Kel. Sinduadi, Kec. Mlati, Sleman, Prov. Daerah istimewa Yogyakarta 55284;Pemahaman terhadap Rancangan konsep dan desain skematik rumah tinggal Pemahaman terhadap struktur, konstruksi, dan material bangunan Presentasi dan pemasaran hasil produk
PT Global Tiket Network;Wisma Barito Pacific II Lantai. 8, Jalan Letnan Jenderal Siswondo Parman Kavling. 60, Desa/Kelurahan Slipi, Kec. Pal Merah, Kota Adm. Jakarta Barat, Provinsi DKI Jakarta, Jakarta Raya Indonesia;Mastery Design Producing Results Business Knowledge Interpersonal Relationship Team Work Analytical Thinking
PT Semesta Integrasi Digital;Jl. Jeruk Purut Dalam No.33, RT.6/RW.3, Cilandak Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560.;Pembelajaran blended learning terintegrasi digital Manajemen kelas yang berpusat pada siswa dalam pembelajaran blended learning Asesmen dan perannya dalam pembelajaran blended learning
PT STECHOQ ROBOTIKA INDONESIA;Jalan Belimbing A-17 Perum Sidoarum Blok II, Godean, Sleman, Yogyakarta;Pre Produksi Advanced 3D Produksi Tahap Akhir Post Produksi Basic 3D
Terra Weather Pte. Ltd;10 Bukit Batok Crescent, 04-03D The Spire, Singapore 658079;Design Thinking for Web-Based, Data-Driven Interactive Learning Platform Chatbot Basics  Chatbot Intermediate
PT Orbit Ventura Indonesia;Veteran RI Building 15th Floor Unit Z15-002, Plaza Semanggi Jl.Jend.Sudirman Kav. 50, Jakarta Indonesia - 12930;Logika dan Konsep Teknologi AI Metode Penelitian AI Siklus Projek AI Pemrograman Python
PT Ruang Raya Indonesia;l. Dr. Saharjo No.161, Manggarai Selatan, Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860;Basic Frontend Web Development With HTML & CSS: Memahami penulisan HTML dan penggunaan CSS dalam Web Development dasar
PT Nurul Fikri Cipta Inovasi;Jl. Situ Indah No.116 RT. 006 RW. 010 Kel. Tugu, Kec. Cimanggis, Kota Depok, Jawa Barat;Email Marketing Search EngIne Marketing/Advertising CRM Web Design untuk Digital Marketing Pengembangan Produk
